run_id,manager,standard,width_mhz,nss,gi_ns,step_size_db,step_time_s,seed,series,snr_db,rate_mbps,wall_s
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,observed,54.0,95.9037,4.652594804763794
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,observed,53.0,104.661,4.652594804763794
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,observed,52.0,104.587,4.652594804763794
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,observed,51.0,104.301,4.652594804763794
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,observed,50.0,104.079,4.652594804763794
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,observed,49.0,104.514,4.652594804763794
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,observed,48.0,106.267,4.652594804763794
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,observed,47.0,119.628,4.652594804763794
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,observed,46.0,128.95,4.652594804763794
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,observed,45.0,129.221,4.652594804763794
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,observed,44.0,129.417,4.652594804763794
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,observed,43.0,128.369,4.652594804763794
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,observed,42.0,128.95,4.652594804763794
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,observed,41.0,128.811,4.652594804763794
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,observed,40.0,128.68,4.652594804763794
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,observed,39.0,128.393,4.652594804763794
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,observed,38.0,129.589,4.652594804763794
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,observed,37.0,129.458,4.652594804763794
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,observed,36.0,129.491,4.652594804763794
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,observed,35.0,127.664,4.652594804763794
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,observed,34.0,111.591,4.652594804763794
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,observed,33.0,108.167,4.652594804763794
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,observed,32.0,94.3555,4.652594804763794
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,observed,31.0,102.105,4.652594804763794
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,observed,30.0,104.374,4.652594804763794
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,observed,29.0,103.883,4.652594804763794
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,observed,28.0,104.71,4.652594804763794
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,observed,27.0,104.686,4.652594804763794
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,observed,26.0,103.244,4.652594804763794
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,observed,25.0,94.3145,4.652594804763794
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,observed,24.0,71.9258,4.652594804763794
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,observed,23.0,72.4992,4.652594804763794
